"Felix Häusler" pushed new code on "Fri, 4 Feb 2022 20:37:07 +0100" with title: "Fix non-character key bindings and Alt+F4 on Windows (#2974)" and stats:	 5 files changed, 70 insertions(+), 12 deletions(-)	
"Felix Häusler" pushed new code on "Fri, 4 Feb 2022 20:36:51 +0100" with title: "Bump version to v0.17.0-rc.2 (#2973)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Ran Luo" pushed new code on "Mon, 31 Jan 2022 10:58:07 +0800" with title: "fix: escape html in code block (#2967)" and stats:	 6 files changed, 37 insertions(+), 27 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 30 Jan 2022 18:38:10 +0100" with title: "Fix prebuilt architecture on macOS (#2965)" and stats:	 5 files changed, 220 insertions(+), 289 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 30 Jan 2022 12:35:37 +0100" with title: "Bump version to v0.17.0-rc1 (#2952)" and stats:	 3 files changed, 53 insertions(+), 1 deletion(-)	
"Felix Häusler" pushed new code on "Sat, 29 Jan 2022 16:25:35 +0100" with title: "Update changelog (#2887)" and stats:	 5 files changed, 87 insertions(+), 25 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 29 Jan 2022 15:14:19 +0100" with title: "Fix issues with non-US keyboards and add key binding settings page (#2930)" and stats:	 41 files changed, 2076 insertions(+), 1231 deletions(-)	
"Felix Häusler" pushed new code on "Sat, 29 Jan 2022 09:01:39 +0100" with title: "Fix mermaid.js XSS (#2947)" and stats:	 8 files changed, 557 insertions(+), 325 deletions(-)	
"Felix Häusler" pushed new code on "Fri, 28 Jan 2022 17:42:12 +0100" with title: "Add architecture to artifact name on macOS (#2945)" and stats:	 2 files changed, 6 insertions(+), 4 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 27 Jan 2022 22:02:21 +0100" with title: "Fix invalid relative image path (#2935)" and stats:	 5 files changed, 52 insertions(+), 19 deletions(-)	
"Felix Häusler" pushed new code on "Tue, 25 Jan 2022 15:38:18 +0100" with title: "Remove debug info from ripgrep [skip ci] (#2931)" and stats:	 1 file changed, 4 insertions(+)	
"Mad Godinez" pushed new code on "Mon, 24 Jan 2022 21:16:07 -0600" with title: "Fixed grammar, spelling, readability + [BUG] (#2932)" and stats:	 1 file changed, 24 insertions(+), 21 deletions(-)	
"Kiyoka Nishiyama" pushed new code on "Sun, 23 Jan 2022 23:20:40 +0000" with title: "fix: #703 invalidate image cache on demand (#2875)" and stats:	 16 files changed, 86 insertions(+), 11 deletions(-)	
